tag_clean,rejection_source,rejection_reason,semantic_category,n_uses,n_movies,n_users,top_user_share,pct_movies,idf
dish,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dish rag,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dishdasha,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disheartening,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dishonest marketing,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dishonored,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dishonour,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disinformation campaign,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disinheritance,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disinherited,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disintegrating gas,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dislikable character,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dislike tom hanks,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dislocated arm,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dislocated finger,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dislocated hip,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dislocating one's thumb,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disloyal dog,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dismantling,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disme,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dismembered,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dismemberment of human beings,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dismissed by all. ingenious.,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dismissed from service,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dismissive of character,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disney live action,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disney park attraction,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disney tone,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disney's best,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disney's magic kingdom,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disobey,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disorganized,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disowning daughter,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dispensability,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dispensable,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dispickable,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dispite the odds,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
displaced from tibet,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
displacer beasts,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
display,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disposal of bodies,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disposal of body,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disposal of evidence,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disposing of a gun,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disposing of evidence,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disrectful of original,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disregard for life,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disrepair,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disrespect the audience,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disrespect to authority,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disrespectful of original,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disrespectful to author,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disrespectful to veterans,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disrespectul to audience,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disruptive stranger,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disruptor rifle,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disruptor weapon,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dissapearance of wife,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dissatified with life,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dissatisfied woman,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disscusting,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dissension,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dissidence,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dissipation,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dissociative horror,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dissociative personalities,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dissociative reaction,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dissolute,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dissolve montage,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dissolving into molecules,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dissonant dialogue,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distant cousin,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distant planet,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distant relative,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distemper,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distillation rig,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distinctive,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distinguished gentleman,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distopic,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distorted mirror,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distorted telephone call,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distorted thinking,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distorting lens,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distorting mirror,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distracted,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distracted driving,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distraint,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distraught,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distress beacon,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distress message,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distressed damsel kidnapped,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distressed family,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distributing flyers,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distributing posters,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distribution,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distribution of wealth,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
district of columbia,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
distructive adventure,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disturbance,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disturbed artist,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disturbed by police,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disturbed character,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disturbed grave,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disturbed serenity,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
disturbic,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
ditch digging construction equipment,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
ditching at sea,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
ditsy,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
ditto,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
ditz,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dive bombing,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dive into water,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dive plane,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
diver instructor,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
divergent endings,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
diverges from source material,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
diverse cast of characters,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
divide and rule,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
divided city,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
divided family,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
divided into acts,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
divided nation,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
divine providence,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
diving coach,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
diving dress,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
diving gear,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
diving off a bridge,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
divining rod,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
divinity student,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
division,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
divisive,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
divorce correspondent,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
divorce lawyers,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
divorce proceedings,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
divorce suit,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
divorced mom,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
divorced woman single man relationship,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
divorced woman young son relationship,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
divorcing,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
divorcing couple,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
diwali,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dixie,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dixie mafia,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dixieland music,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
diy culture,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
diy short,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dizzy,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dizzy camera,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dj culture,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
djellaba,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
djiwani,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
djwrecommended seewithoutkate,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dlb,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dlinquent,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dmv,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dna analysis,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dna curse,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dna from mosquito,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dna match,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dna report,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dna sequencer,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dnieper river,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
do gooder,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
do not enter sign,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
do not like hugh grant,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
do not watch,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
do over operation,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
do the right thing,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
"do you feel lucky, punk",semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
do your thing cuz,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
do zasania,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dobro,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doc,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doc samson character,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dock worker,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
docked starship,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
docking,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
docking port,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dockyard,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dockyard shootout,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doctor costume,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doctor fate character,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doctor makes a house call,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doctor patient,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doctor patient sex,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doctor spanks newborn,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doctor x character,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doctor's appointment,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doctor's bill,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doctor's coat,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doctor's note,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doctor's visit,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doctor-nurse relationship,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doctorate thesis paper,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doctored footage,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doctors without borders,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
docu-fiction,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
documentaries,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
documentarist,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
documentary film,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
documentary like,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
documentary segment,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
documentary+,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
documentation,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
docuseries,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dodecaphonic music,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dodge avenger,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dodge cavaran,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dodge diplomat,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dodge neon,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dodge polara,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dodge ppg turbo interceptor,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dodge ram van,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dodge sprinter,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dodge st. regis,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dodgeball ball,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dodging a question,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dodging bullets,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dodging lasers,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dodo,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dodo doubleday series,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doe,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
does he even care-,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
does not age well,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
does not make sense,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doesn't age well.,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doesn't change the fact that che slaughtered a plethora of cubans,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doesn't follow series,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doesn't go into motives,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doesn't have any of the right 'feel,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doesn't leave an impact,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doesn't like people,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doesn't make the plot believable,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doesn't really know if it's a teen or a crime movie,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doesn't show the fights,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
doesn't translate well - still pretty good,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog abuse,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog act,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog adoption,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog and man,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog bed,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog bites man,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog boarding,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog bowl,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog breed,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog breeder,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog burying a bone,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog cab,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog carries a disembodied arm,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog carries a severed hand,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog chases a car,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog chasing a car,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog chews on a cage,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog chews someone's underwear,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog chorus,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog climbs on top of a truck,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog clothing,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog cone,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog defecation,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog dish,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog dragging butt on floor,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog drinking beer,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog drinks alcohol,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
dog drinks whiskey,semantic_rules,semantic_category_missing,,1,1,1,1.0,4.643819076808767e-05,10.284287616928266
